"codigo distribuidor";"Referencia de producto";EAN;UPC;Unidades;Tarifa;"Descuento Comercial";"Nombre Producto";"FAMILIA RPS";"FOTO VARIANTE";"Variants date"
022-4HH8021;LAPUA005;0;;-3000;390,00;37;".32 S&W Long Caja 1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-06-20 18:24:34 UTC+0000"
022-4HL5015;LAPUA002;6418267305662;;0;450,00;37;".224 CALIBER-.224  (5,69 mm / .224)-69-SCENARL-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:14 UTC+0000"
022-4HL5016;LAPUA002;6418267305679;;0;450,00;37;".224 CALIBER-.224  (5,69 mm / .224)-77-SCENARL-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:14 UTC+0000"
022-4HL5017;LAPUA002;6418267305815;;0;340,00;37;".224 CALIBER-.224 (5,69 mm / .224)-55-FMJ-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:14 UTC+0000"
022-4HL6000;LAPUA002;6418267305242;;0;460,00;37;".264 CALIBER / 6,5 mm-6,5 mm  (6,72 mm / .264)-144-FMJ  Boat Tail-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:15 UTC+0000"
022-4HL6014;LAPUA002;6418267305174;;0;370,00;37;".264 CALIBER / 6,5 mm-6,5 mm  (6,72 mm / .264)-100-SPITZER-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:14 UTC+0000"
022-4HL6018;LAPUA002;6418267305235;;18000;450,00;37;".264 CALIBER / 6,5 mm-6,5 mm  (6,72 mm / .264)-139-SCENAR-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2024-10-23 20:42:14 UTC+0000"
022-4HL6019;LAPUA002;6418267305693;;4000;520,00;37;".264 CALIBER / 6,5 mm-6,5 mm  (6,72 mm / .264)-136-SCENARL-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2024-10-23 14:30:15 UTC+0000"
022-4HL6020;LAPUA002;6418267305198;;0;450,00;37;".264 CALIBER / 6,5 mm-6,5 mm  (6,72 mm / .264)-108-SCENAR-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:14 UTC+0000"
022-4HL6021;LAPUA002;6418267305686;;0;520,00;37;".264 CALIBER / 6,5 mm-6,5 mm  (6,72 mm / .264)-120-SCENARL-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:14 UTC+0000"
022-4HL6032;LAPUA002;6418267305211;;0;450,00;37;".264 CALIBER / 6,5 mm-6,5 mm  (6,72 mm / .264)-123-SCENAR-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2024-11-07 13:23:01 UTC+0000"
022-4HL6033;LAPUA002;6418267305167;;0;410,00;37;".264 CALIBER / 6,5 mm-6,5 mm  (6,72 mm / .264)-100-SCENAR-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:14 UTC+0000"
022-4HL6050;LAPUA002;6418267305624;;5000;480,00;37;".243 CALIBER / 6 mm-6 mm  (6,16 mm / .243)-105-SCENARL-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2024-10-23 14:30:15 UTC+0000"
022-4HL6055;LAPUA002;6418267305655;;0;480,00;37;".243 CALIBER / 6 mm-6 mm  (6,16 mm / .243)-90-SCENARL-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:14 UTC+0000"
022-4HL7003;LAPUA002;6418267305273;;0;320,00;37;".30 CALIBER / 7,62 mm-.30 (7,83 mm / .308)-123-SPITZER-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-10-26 10:59:40 UTC+0000"
022-4HL7005;LAPUA002;6418267305396;;0;600,00;37;".310 CALIBER-7,62 mm (7,87 mm) / .310)-200-FMJ  Boat Tail-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:15 UTC+0000"
022-4HL7019;LAPUA002;6418267305389;;0;550,00;37;".30 CALIBER / 7,62 mm-.30 (7,83 mm / .308)-185-FMJ  Boat Tail-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:15 UTC+0000"
022-4HL7061;LAPUA002;6418267305716;;0;560,00;37;".30 CALIBER / 7,62 mm-.30 (7,83 mm / .308)-175-SCENARL-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2024-05-02 14:07:45 UTC+0000"
022-4HL7062;LAPUA002;6418267305723;;0;315,00;37;".30 CALIBER / 7,62 mm-.30 (7,83 mm / .308)-220-SCENARL-500";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:15 UTC+0000"
022-4HL7063;LAPUA002;6418267305709;;1000;560,00;37;".30 CALIBER / 7,62 mm-.30 (7,83 mm / .308)-155-SCENARL-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2024-10-23 20:42:18 UTC+0000"
022-4HL7069;LAPUA002;6418267305310;;7000;490,00;37;".30 CALIBER / 7,62 mm-.30 (7,83 mm / .308)-167-SCENAR-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2024-10-23 20:42:19 UTC+0000"
022-4HL7071;LAPUA002;6418267305334;;3000;490,00;37;".30 CALIBER / 7,62 mm-.30 (7,83 mm / .308)-185-SCENAR-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2024-11-04 19:43:56 UTC+0000"
022-4HL7086;LAPUA002;6418267305365;;0;510,00;37;".30 CALIBER / 7,62 mm-.30 (7,83 mm / .308)-170-LOCK BASE-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:15 UTC+0000"
022-4HL7224;LAPUA002;6418267305266;;0;320,00;37;".30 CALIBER / 7,62 mm-.30 (7,83 mm / .308)-100-CUTTING EDGE-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-10-26 10:59:40 UTC+0000"
022-4HL7400;LAPUA002;6418267305747;;0;530,00;37;".284 CALIBER / 7 mm-7 mm-150-SCENARL-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:15 UTC+0000"
022-4HL7401;LAPUA002;6418267305754;;0;530,00;37;".284 CALIBER / 7 mm-7 mm-180-SCENARL-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:15 UTC+0000"
022-4HL8001;LAPUA002;6418267305822;;0;470,00;37;".323 CALIBER / 8 mm-8 mm-120-Open Tip-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:15 UTC+0000"
022-4HL8012;LAPUA002;6418267305488;;0;810,00;37;".338 CALIBER / 8,6 mm-.338 (8,61 mm / .339)-250-LOCK BASE-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:16 UTC+0000"
022-4HL8017;LAPUA002;6,41827E+12;;0;81,00;37;".338 CALIBER / 8,6 mm-.338 (8,61 mm / .339)-250-SCENAR-100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:16 UTC+0000"
022-4HL8021;LAPUA003;0;;10000;170,00;37;".32 CALIBER / 7,65 mm-.32 S&W  (7,65 mm / .32)-98-LWC-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-04-29 19:52:33 UTC+0000"
022-4HL8023;LAPUA003;0;;10000;170,00;37;".32 CALIBER / 7,65 mm-.32 S&W  (7,65 mm / .32)-83-LWC-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-10-23 14:30:15 UTC+0000"
022-4HL9018;LAPUA002;6,41827E+12;;0;480,00;37;".366 CALIBER / 9,3 mm-9,3 mm (9,3 mm / .366)-185-Open Tip-1000";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/7/LAPUA_HUNTING_medium_hunting_jpg.jpg;"2023-11-08 14:51:16 UTC+0000"
022-4PH5001;LAPUA005;6418267200523;;0;138,00;37;".22-250 Rem Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH5002;LAPUA005;6418267200547;;500;97,00;37;".222 Rem Match Lapua Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-10-23 14:30:11 UTC+0000"
022-4PH5003;LAPUA005;6418267200561;;0;97,00;37;".223 Rem Match Lapua Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH5013;LAPUA005;6418267200578;;-1000;152,00;37;".220 Russian Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/1/4PH5013.png;"2024-03-26 13:28:16 UTC+0000"
022-4PH6009;LAPUA005;6418267200592;;0;138,00;37;".243 Win Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-01-30 12:43:08 UTC+0000"
022-4PH6010;LAPUA005;6418267200608;;-1000;152,00;37;"6,5x47 Lapua Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH6011;LAPUA005;6418267200622;;8700;162,00;37;"6,5 Creedmoor SRP Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-11-05 14:38:13 UTC+0000"
022-4PH6012;LAPUA005;6418267200646;;0;125,00;37;"6,5 x 55 Swedish Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-05-02 14:07:50 UTC+0000"
022-4PH6013;LAPUA005;6418267200660;;6800;162,00;37;"6,5 Creedmoor LRP Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-10-23 14:30:16 UTC+0000"
022-4PH6020;LAPUA005;6418267200677;;0;147,00;37;"6,5 Grendel Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH6022;LAPUA005;6418267200691;;0;164,00;37;"6 mm Creedmoor Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH6023;LAPUA005;6418267200714;;0;194,00;37;"6,5 PRC Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-11-04 19:43:58 UTC+0000"
022-4PH6030;LAPUA005;6418267200721;;0;159,00;37;"6,5-284 Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-20 14:58:08 UTC+0000"
022-4PH6046;LAPUA005;6418267200745;;0;120,00;37;"6 mm B.R. Norma Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-10-23 20:42:18 UTC+0000"
022-4PH6050;LAPUA005;6418267200769;;500;138,00;37;".260 Rem Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH7068;LAPUA005;6418267200783;;0;133,00;37;".30-06 Springfield Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH7074;LAPUA005;6418267200790;;0;96,00;37;"7,62x39 Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH7090;LAPUA005;6418267200813;;100;275,00;37;".300 Norma Mag. Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-09-18 13:13:02 UTC+0000"
022-4PH7095;LAPUA005;6418267200837;;0;138,00;37;"7 mm-08 Rem. Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-01-30 12:43:08 UTC+0000"
022-4PH7096;LAPUA005;6418267200851;;0;195,00;37;".300 Win Mag.  Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-04-22 20:11:47 UTC+0000"
022-4PH7098;LAPUA005;6418267200875;;1400;200,00;37;".300 PRC Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-10-23 20:42:17 UTC+0000"
022-4PH7105;LAPUA005;6418267200882;;200;155,00;37;"7x64 Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH7107;LAPUA005;6418267200899;;200;157,00;37;"7x65R Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-09-25 12:14:21 UTC+0000"
022-4PH7215;LAPUA005;6418267200905;;100;161,00;37;"7,62x53R Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH7217;LAPUA005;6418267200929;;1900;109,00;37;".308 Win Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-11-06 12:33:08 UTC+0000"
022-4PH7226;LAPUA005;6418267200936;;10100;134,00;37;".308 Win Palma Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-11-06 12:33:07 UTC+0000"
022-4PH7284;LAPUA005;6418267200950;;0;159,00;37;".284 Win. Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH8030;LAPUA005;6418267200967;;0;137,00;37;"8x57 IS Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2023-12-18 22:38:49 UTC+0000"
022-4PH8031;LAPUA005;6418267200974;;700;155,00;37;"8x57 IRS Caja 100";"024PUNTAS Y VAINAS LAPUA";http://d7rh5s3nxmpy4.cloudfront.net/CMP755/8/LAPUA_RELOADING_medium_reloading_jpg.jpg;"2024-02-05 12:01:04 UTC+0000"
